2026-09-23 20:30:28 | 404 | IP:::1 | URL:/skplanner/error-404.php | Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:25:38 | 404 | METHOD=GET | URI=/skplanner/xyz | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:25:55 | 404 | METHOD=GET | URI=/skplanner/0000 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:26:07 | 404 | METHOD=GET | URI=/skplanner/admin/logo.jpg | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:26:07 | 404 | METHOD=GET | URI=/skplanner/admin/style.css | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:26:07 | 404 | METHOD=GET | URI=/skplanner/admin/logo.jpg | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:27:09 | 404 | METHOD=GET | URI=/skplanner/admin/style.css | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:27:09 | 404 | METHOD=GET | URI=/skplanner/admin/logo.jpg | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:27:13 | 404 | METHOD=GET | URI=/skplanner/admin/style.css | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:27:13 | 404 | METHOD=GET | URI=/skplanner/admin/logo.jpg | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:27:13 | 404 | METHOD=GET | URI=/skplanner/admin/logo.jpg | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:27:22 | 404 | METHOD=GET | URI=/skplanner/admin/555 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:27:41 | 404 | METHOD=GET | URI=/skplanner/admin/555 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
2026-09-26 18:30:27 | 404 | METHOD=GET | URI=/skplanner/error-505.php | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36
